"","Title","Prod_year","Is_sequel","Run_time","Creative_type","Source","Prod_method","Genre","Prod_budget","Dom_BO","Intl_BO","Total_BO","Infl_Adj_Dom_BO","MPAA_rating","Rel_date_TH","Keywords","Prod_company","Opening_rev","Opening_theaters"
"2642","Letters from Iwo Jima",2006,0,101,"Historical Fiction","Based on Real Life Events","Live Action","Drama",13000000,13756082,54111916,67867998,17815539,"R",2006-12-20,"Letters from Iwo Jima - World War II","DreamWorks Pictures",89097,5
"2643","Venus",2006,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Drama",6000000,3347411,4471068,7818479,4337611,"R",2006-12-21,NA,NA,35604,3
"2644","Man cheng jin dai huang jin jia",2006,0,NA,"Historical Fiction","Based on Play","Live Action","Action",45000000,6566773,70337656,76904429,8593885,"R",2006-12-21,"Man cheng jin dai huang jin jia - Foreign Language",NA,478771,60
"2645","We Are Marshall",2006,0,NA,"Dramatization","Based on Real Life Events","Live Action","Drama",65000000,43545364,0,43545364,57968192,"PG",2006-12-22,"We Are... Marshall - Football",NA,6114264,2606
"2646","Night at the Museum",2006,0,108,"Kids Fiction","Based on Fiction Book/Short Story","Live Action","Adventure",110000000,250863268,328583139,579446407,332066467,"PG",2006-12-22,"Night at the Museum - Living Toys","20th Century Fox",30433781,3685
"2647","The Good German",2006,0,105,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",32000000,1308696,5369337,6678033,1722818,"R",2006-12-22,"The Good German - World War II","Section Eight",76817,5
"2648","Notes on a Scandal",2006,0,92,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Drama",27500000,17510118,33068293,50578411,22691137,"R",2006-12-25,NA,"Fox Searchlight Pictures",414487,22
"2649","Dreamgirls",2006,0,130,"Historical Fiction","Based on Musical or Opera","Live Action","Musical",75000000,103365956,52342739,155708695,136130306,"PG-13",2006-12-25,"Dreamgirls - Music Industry","DreamWorks",378950,3
"2650","Children of Men",2006,0,109,"Science Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",76000000,35552383,34292628,69845011,46075923,"R",2006-12-25,"Children of Men - End of the World","Universal Pictures",501003,16
"2651","Black Christmas",2006,0,91,"Contemporary Fiction","Remake","Live Action","Horror",9000000,16235738,0,16235738,21714176,"R",2006-12-25,"Black Christmas - Christmas",NA,3723364,1544
"2652","Perfume: The Story of a Murderer",2006,0,NA,"Historical Fiction","Based on Fiction Book/Short Story","Live Action","Drama",63700000,2223293,131380170,133603463,2879800,"R",2006-12-27,"Perfume: The Story of a Murderer - Serial Killer",NA,37079,3
"2653","Miss Potter",2006,0,92,"Dramatization","Based on Real Life Events","Live Action","Drama",30000000,3005605,32885652,35891257,3890644,"PG",2006-12-29,"Miss Potter - Biography",NA,9653,2
"2654","Factory Girl",2006,0,90,"Dramatization","Based on Real Life Events","Live Action","Drama",7000000,1661464,0,1661464,2149270,"R",2006-12-29,"Factory Girl - Biography",NA,87477,3
"2655","El Laberinto del Fauno",2006,0,NA,"Historical Fiction","Original Screenplay","Live Action","Horror",16000000,37634615,49406954,87041569,48721368,"R",2006-12-29,"El Laberinto del Fauno - Monster",NA,568641,17
"2656","The Dead Girl",2006,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",3300000,19875,0,19875,25837,"R",2006-12-29,NA,NA,4789,2
"2657","Code Name: The Cleaner",2007,0,91,"Contemporary Fiction","Original Screenplay","Live Action","Comedy",20000000,8135024,0,8135024,10523502,"PG-13",2007-01-05,"Code Name: The Cleaner - Secret Agent",NA,4244142,1736
"2658","Freedom Writers",2007,0,122,"Dramatization","Based on Fiction Book/Short Story","Live Action","Drama",21000000,36605602,7027007,43632609,47353171,"PG-13",2007-01-05,"Freedom Writers - Inspirational Teacher","MTV Films",9405582,1360
"2659","Happily N'Ever After",2006,0,87,"Kids Fiction","Original Screenplay","Digital Animation","Adventure",47000000,15849032,22074786,37923818,20502378,"PG",2007-01-05,"Happily N'Ever After - Spoof",NA,6608244,2381
"2660","Thr3e",2007,0,105,"Contemporary Fiction","Based on Fiction Book/Short Story","Live Action","Thriller/Suspense",2400000,1008849,411569,1420418,1305052,"PG-13",2007-01-05,"Thr3e - Serial Killer",NA,675000,458
"2661","Stomp the Yard",2007,0,116,"Contemporary Fiction","Original Screenplay","Live Action","Drama",14000000,61356221,14169497,75525718,79370690,"PG-13",2007-01-12,"Stomp the Yard - Dancing",NA,21833312,2051
"2662","Alone with Her",2007,0,NA,"Contemporary Fiction","Original Screenplay","Live Action","Thriller/Suspense",1000000,10787,833590,844377,13946,"Not Rated",2007-01-17,NA,NA,5555,1
